topic_key,name,svg_path,image_path,lottie_path,narration,explanation,fact,game_type,is_free,display_order
asparagus,"{""en"":""Asparagus"",""gu"":""શતાવરી"",""hi"":""शतावरी""}",,/assets/images/vegetables/asparagus.png,,"{""en"":""Asparagus! Asparagus spears are long, green, and look like tiny spears."",""gu"":""શતાવરી! શતાવરી લાંબી, લીલી અને નાની ભાલા જેવી દેખાય છે."",""hi"":""शतावरी! शतावरी लंबी, हरी और छोटे भाले जैसी दिखती है।""}","{""en"":""Asparagus grows straight out of the ground. It is very healthy and contains lots of vitamins to help you grow strong!"",""gu"":""શતાવરી સીધી જમીનમાંથી બહાર ઊગે છે. તે ખૂબ જ સ્વસ્થ છે અને તેમાં તમને મજબૂત બનવા માટે ઘણા બધા વિટામિન્સ હોય છે!"",""hi"":""शतावरी सीधे जमीन से बाहर उगती है। यह बहुत स्वास्थ्यवर्धक है और इसमें आपको मजबूत बनाने के लिए बहुत सारे विटामिन होते हैं!""}","{""en"":""Did you know? Asparagus plants can live and produce delicious spears for up to 20 years!"",""gu"":""શું તમે જાણો છો? શતાવરીનો છોડ ૨૦ વર્ષ સુધી જીવંત રહી શકે છે અને સ્વાદિષ્ટ શતાવરી આપી શકે છે!"",""hi"":""क्या आपको पता है? शतावरी का पौधा 20 साल तक जीवित रह सकता है और स्वादिष्ट शतावरी दे सकता है!""}",memory,true,1
bell_pepper,"{""en"":""Bell Pepper"",""gu"":""કેપ્સિકમ"",""hi"":""शिमला मिर्च""}",,/assets/images/vegetables/bell_pepper.png,,"{""en"":""Bell Pepper! Bell peppers are crunchy and come in bright colors like red, yellow, and green."",""gu"":""કેપ્સિકમ! કેપ્સિકમ ક્રન્ચી હોય છે અને તે લાલ, પીળા અને લીલા જેવા તેજસ્વી રંગોમાં આવે છે."",""hi"":""शिमला मिर्च! शिमला मिर्च कुरकुरी होती है और यह लाल, पीले और हरे जैसे चमकीले रंगों में आती है।""}","{""en"":""Bell peppers are sweet, not spicy! They are filled with vitamin C and make salads and pizzas colorful and tasty."",""gu"":""કેપ્સિકમ મીઠા હોય છે, તીખા નહીં! તેઓ વિટામિન C થી ભરપૂર હોય છે અને સલાડ તથા પિઝાને રંગીન અને સ્વાદિષ્ટ બનાવે છે."",""hi"":""शिमला मिर्च मीठी होती है, तीखी नहीं! वे विटामिन सी से भरपूर होती हैं और सलाद व पिज्जा को रंगीन और स्वादिष्ट बनाती हैं।""}","{""en"":""Did you know? Green bell peppers are just unripe red ones! As they stay on the plant, they turn yellow and then red."",""gu"":""શું તમે જાણો છો? લીલા કેપ્સિકમ એ કાચા લાલ કેપ્સિકમ જ છે! જેમ જેમ તેઓ છોડ પર રહે છે તેમ તેમ તેઓ પીળા અને પછી લાલ થાય છે."",""hi"":""क्या आपको पता है? हरी शिमला मिर्च असल में कच्ची लाल मिर्च ही होती है! जैसे-जैसे वे पौधे पर रहती हैं, वे पीली और फिर लाल हो जाती हैं।""}",memory,true,2
broccoli,"{""en"":""Broccoli"",""gu"":""બ્રોકોલી"",""hi"":""ब्रोकोली""}",,/assets/images/vegetables/broccoli.png,,"{""en"":""Broccoli! Broccoli looks like a bundle of cute, green miniature trees."",""gu"":""બ્રોકોલી! બ્રોકોલી નાના, લીલા રંગના લઘુચિત્ર વૃક્ષોના જૂથ જેવી દેખાય છે."",""hi"":""ब्रोकोली! ब्रोकोली छोटे, हरे रंग के नन्हे पेड़ों के गुच्छे जैसी दिखती है।""}","{""en"":""Broccoli is a superfood! It is packed with nutrients that protect our bodies and keep our tummies happy."",""gu"":""બ્રોકોલી એક સુપરફૂડ છે! તે એવા પોષક તત્ત્વોથી ભરપૂર છે જે આપણા શરીરનું રક્ષણ કરે છે અને પેટને ખુશ રાખે છે."",""hi"":""ब्रोकोली एक सुपरफूड है! यह ऐसे पोषक तत्वों से भरपूर है जो हमारे शरीर की रक्षा करते हैं और पेट को स्वस्थ रखते हैं।""}","{""en"":""Did you know? The part of the broccoli we eat is actually a cluster of hundreds of tiny, unopened flower buds!"",""gu"":""શું તમે જાણો છો? બ્રોકોલીનો જે ભાગ આપણે ખાઈએ છીએ તે વાસ્તવમાં સેંકડો નાના, ન ખીલેલા ફૂલોની કળીઓનો સમૂહ છે!"",""hi"":""क्या आपको पता है? ब्रोकोली का जो हिस्सा हम खाते हैं वह वास्तव में सैकड़ों छोटे, बिना खिले फूलों की कलियों का समूह होता है!""}",memory,true,3
carrot,"{""en"":""Carrot"",""gu"":""ગાજર"",""hi"":""गाजर""}",,/assets/images/vegetables/carrot.png,,"{""en"":""Carrot! Carrots are sweet, crunchy orange roots that grow underground."",""gu"":""ગાજર! ગાજર એ જમીનની અંદર ઉગતા મીઠા, કડક અને નારંગી રંગના મૂળ છે."",""hi"":""गाजर! गाजर जमीन के नीचे उगने वाली मीठी, कुरकुरी और नारंगी रंग की जड़ें होती हैं।""}","{""en"":""Carrots are super healthy veggies. They are full of Vitamin A which is amazing for keeping your eyes healthy and strong!"",""gu"":""ગાજર ખૂબ જ સ્વસ્થ શાકભાજી છે. તેઓ વિટામિન A થી ભરપૂર છે જે તમારી આંખોને સ્વસ્થ અને મજબૂત રાખવા માટે અદ્ભુત છે!"",""hi"":""गाजर बहुत ही स्वास्थ्यवर्धक सब्ज़ी है। वे विटामिन ए से भरपूर होती हैं जो आपकी आँखों को स्वस्थ और तेज़ रखने के लिए बहुत अच्छा है!""}","{""en"":""Did you know? The first carrots grown long ago were actually purple and yellow, not orange!"",""gu"":""શું તમે જાણો છો? વર્ષો પહેલા ઉગાડવામાં આવેલા સૌપ્રથમ ગાજર વાસ્તવમાં જાંબલી અને પીળા હતા, નારંગી નહીં!"",""hi"":""क्या आपको पता है? बहुत पहले उगाए गए सबसे पहले गाजर वास्तव में बैंगनी और पीले थे, नारंगी नहीं!""}",memory,true,4
cauliflower,"{""en"":""Cauliflower"",""gu"":""ફુલાવર"",""hi"":""फूलगोभी""}",,/assets/images/vegetables/cauliflower.png,,"{""en"":""Cauliflower! Cauliflower looks like a fluffy white cloud wrapped in green leaves."",""gu"":""ફુલાવર! ફુલાવર લીલા પાંદડાઓમાં વીંટળાયેલા સફેદ વાદળ જેવું લાગે છે."",""hi"":""फूलगोभी! फूलगोभी हरे पत्तों में लिपटे एक सफेद बादल जैसी दिखती है।""}","{""en"":""Cauliflower is a cousin of broccoli. Its white head is called the curd, and it can be used to make yummy curries and even pizza crusts!"",""gu"":""ફુલાવર એ બ્રોકોલીનું પિતરાઈ ભાઈ છે. તેના સફેદ ભાગને કરડ કહેવાય છે અને તેનો ઉપયોગ સ્વાદિષ્ટ શાકભાજી બનાવવા માટે થાય છે!"",""hi"":""फूलगोभी ब्रोकोली की ही प्रजाति है। इसके सफेद हिस्से को खाया जाता है और इससे स्वादिष्ट सब्जियां बनाई जाती हैं!""}","{""en"":""Did you know? Cauliflower comes in other colors too, including purple, orange, and green!"",""gu"":""શું તમે જાણો છો? ફુલાવર અન્ય રંગોમાં પણ આવે છે, જેમાં જાંબલી, નારંગી અને લીલો સમાવેશ થાય છે!"",""hi"":""क्या आपको पता है? फूलगोभी अन्य रंगों में भी आती है, जिसमें बैंगनी, नारंगी और हरा शामिल है!""}",memory,true,5
celery,"{""en"":""Celery"",""gu"":""સેલરી"",""hi"":""अजमोद""}",,/assets/images/vegetables/celery.png,,"{""en"":""Celery! Celery has long, crisp green stalks that make a loud crunch when you bite them."",""gu"":""સેલરી! સેલરીની લાંબી, કડક લીલી ડાળીઓ હોય છે જેને ખાતી વખતે મોટો અવાજ (ક્રંચ) થાય છે."",""hi"":""अजमोद! अजमोद की लंबी, कुरकुरी हरी डंडियाँ होती हैं जिन्हें खाते समय कड़क आवाज़ आती है।""}","{""en"":""Celery is mostly made of water and is very refreshing. It is great for dipping in peanut butter or hummus for a healthy snack."",""gu"":""સેલરી મોટાભાગે પાણીથી બનેલી હોય છે અને ખૂબ જ તાજગી આપનારી છે. તે તંદુરસ્ત નાસ્તા તરીકે ખાવા માટે ઉત્તમ છે."",""hi"":""अजमोद में ज्यादातर पानी होता है और यह बहुत ताज़गी देता है। इसे स्वस्थ नाश्ते के रूप में खाया जाता है।""}","{""en"":""Did you know? In ancient times, celery was used as a medicine and to make crowns for winners of athletic games!"",""gu"":""શું તમે જાણો છો? પ્રાચીન સમયમાં, સેલરીનો ઉપયોગ દવા તરીકે અને રમતગમતના વિજેતાઓ માટે તાજ બનાવવા માટે થતો હતો!"",""hi"":""क्या आपको पता है? प्राचीन काल में, अजमोद का उपयोग दवा के रूप में और खेल विजेताओं के मुकुट बनाने के लिए किया जाता था!""}",memory,true,6
corn,"{""en"":""Corn"",""gu"":""મકાઈ"",""hi"":""मक्का""}",,/assets/images/vegetables/corn.png,,"{""en"":""Corn! Corn has sweet, juicy yellow kernels lined up on a cob."",""gu"":""મકાઈ! મકાઈના દાણા મીઠા અને રસદાર હોય છે જે લાઈનમાં ગોઠવાયેલા હોય છે."",""hi"":""मक्का! मक्के के दाने मीठे और रसदार होते हैं जो एक भुट्टे पर कतार में लगे होते हैं।""}","{""en"":""Corn can be popped into popcorn, boiled on the cob, or made into sweet corn soup. It gives us energy to run and play all day!"",""gu"":""મકાઈમાંથી પોપકોર્ન બનાવી શકાય છે, બાફી શકાય છે અથવા સ્વીટ કોર્ન સૂપ બનાવી શકાય છે. તે આપણને આખો દિવસ રમવાની શક્તિ આપે છે!"",""hi"":""मक्के से पॉपकॉर्न बनाया जा सकता है, उबाला जा सकता है या स्वीट कॉर्न सूप बनाया जा सकता है। यह हमें दिन भर खेलने की ऊर्जा देता है!""}","{""en"":""Did you know? An average ear of corn has about 800 kernels, and they are always arranged in an even number of rows!"",""gu"":""શું તમે જાણો છો? મકાઈના એક ડોડામાં લગભગ ૮૦૦ દાણા હોય છે અને તેઓ હંમેશા બેકી સંખ્યાની હરોળમાં ગોઠવાયેલા હોય છે!"",""hi"":""क्या आपको पता है? मक्के के एक भुट्टे पर लगभग 800 दाने होते हैं, और वे हमेशा सम संख्या (even number) की पंक्तियों में व्यवस्थित होते हैं!""}",memory,true,7
cucumber,"{""en"":""Cucumber"",""gu"":""કાકડી"",""hi"":""खीरा""}",,/assets/images/vegetables/cucumber.png,,"{""en"":""Cucumber! Cucumbers are cool, crisp, and perfect for a hot summer day."",""gu"":""કાકડી! કાકડી ઠંડી, કડક અને ઉનાળાના ગરમ દિવસ માટે એકદમ યોગ્ય છે."",""hi"":""खीरा! खीरा ठंडा, कुरकुरा और गर्मी के दिनों के लिए बिल्कुल सही होता है।""}","{""en"":""Cucumbers have a smooth green skin and juicy flesh. Eating cucumbers helps keep our bodies hydrated and cool."",""gu"":""કાકડીની ચામડી લીલી અને સુંવાળી હોય છે. કાકડી ખાવાથી આપણું શરીર હાઇડ્રેટેડ રહે છે અને ઠંડક મળે છે."",""hi"":""खीरे की त्वचा हरी और चिकनी होती है। खीरा खाने से हमारा शरीर हाइड्रेटेड रहता है और ठंडक मिलती है।""}","{""en"":""Did you know? Cucumbers are actually 95% water! They belong to the same family as watermelons and pumpkins."",""gu"":""શું તમે જાણો છો? કાકડીમાં ૯૫% પાણી હોય છે! તે તરબૂચ અને કોળાના જ પરિવારમાંથી આવે છે."",""hi"":""क्या आपको पता है? खीरे में 95% पानी होता है! वे तरबूज और कद्दू के ही परिवार से संबंधित हैं।""}",memory,true,8
eggplant,"{""en"":""Eggplant"",""gu"":""રીંગણ"",""hi"":""बैंगन""}",,/assets/images/vegetables/eggplant.png,,"{""en"":""Eggplant! Eggplants are glossy, deep purple veggies with a green cap."",""gu"":""રીંગણ! રીંગણ એ માથા પર લીલી ટોપી જેવું ડીંટડું ધરાવતું ચળકતું, ઘેરા જાંબલી રંગનું શાકભાજી છે."",""hi"":""बैंगन! बैंगन सिर पर हरी टोपी जैसी डंडी वाले चमकदार, गहरे बैंगनी रंग की सब्ज़ी होते हैं।""}","{""en"":""Eggplants have a soft, spongy inside that absorbs yummy flavors when cooked. They are delicious when roasted or baked!"",""gu"":""રીંગણની અંદરનો ભાગ નરમ અને સ્પોન્જી હોય છે જે રાંધતી વખતે સ્વાદ શોષી લે છે. તે શેકેલા ખૂબ જ સ્વાદિષ્ટ લાગે છે!"",""hi"":""बैंगन का अंदरूनी हिस्सा नरम और स्पंजी होता है जो पकने पर स्वाद सोख लेता है। यह भुना हुआ बहुत स्वादिष्ट लगता है!""}","{""en"":""Did you know? Eggplants got their English name because some varieties are small, white, and look exactly like chicken eggs!"",""gu"":""શું તમે જાણો છો? રીંગણને અંગ્રેજીમાં 'એગપ્લાન્ટ' કહેવાય છે કારણ કે તેની અમુક જાતો નાની, સફેદ અને મરઘીના ઇંડા જેવી દેખાય છે!"",""hi"":""क्या आपको पता है? बैंगन को अंग्रेजी में 'एगप्लांट' कहा जाता है क्योंकि इसकी कुछ किस्में छोटी, सफेद और बिल्कुल अंडे जैसी दिखती हैं!""}",memory,true,9
lettuce,"{""en"":""Lettuce"",""gu"":""લેટીસ"",""hi"":""सलाद पत्ता""}",,/assets/images/vegetables/lettuce.png,,"{""en"":""Lettuce! Lettuce has crisp green leaves that make salads fresh and crunchy."",""gu"":""લેટીસ! લેટીસ એ કડક લીલા પાંદડા છે જે સલાડને તાજું અને ક્રન્ચી બનાવે છે."",""hi"":""सलाद पत्ता! सलाद पत्ता कुरकुरे हरे पत्ते होते हैं जो सलाद को ताज़ा बनाते हैं।""}","{""en"":""Lettuce is the star ingredient of sandwiches, burgers, and salads. It is packed with water and vitamins to keep us active!"",""gu"":""લેટીસ એ સેન્ડવીચ, બર્ગર અને સલાડની મુખ્ય સામગ્રી છે. તે આપણને સક્રિય રાખવા માટે પાણી અને વિટામિન્સથી ભરપૂર છે!"",""hi"":""सलाद पत्ता सैंडविच, बर्गर और सलाद की मुख्य सामग्री है। यह हमें सक्रिय रखने के लिए पानी और विटामिन से भरपूर होता है!""}","{""en"":""Did you know? Ancient Egyptians first cultivated lettuce not for its leaves, but to produce oil from its seeds!"",""gu"":""શું તમે જાણો છો? પ્રાચીન ઇજિપ્તવાસીઓએ સૌપ્રથમ લેટીસ પાંદડા માટે નહીં, પરંતુ તેના બીજમાંથી તેલ મેળવવા માટે ઉગાડ્યું હતું!"",""hi"":""क्या आपको पता है? प्राचीन मिस्रवासियों ने सबसे पहले सलाद पत्ते को पत्तों के लिए नहीं, बल्कि उसके बीजों से तेल निकालने के लिए उगाया था!""}",memory,true,10
mushroom,"{""en"":""Mushroom"",""gu"":""મશરૂમ"",""hi"":""मशरूम""}",,/assets/images/vegetables/mushroom.png,,"{""en"":""Mushroom! Mushrooms are unique, umbrella-shaped veggies that grow in forests."",""gu"":""મશરૂમ! મશરૂમ એ જંગલોમાં ઉગતી છત્ર જેવી અનોખી શાકભાજી છે."",""hi"":""मशरूम! मशरूम छाते जैसी अनोखी सब्ज़ी होते हैं जो जंगलों में उगते हैं।""}","{""en"":""Mushrooms are fungi, not plants! They have a soft texture and add a savory, earthy flavor to soups and pizzas."",""gu"":""મશરૂમ ફૂગ છે, છોડ નથી! તેઓ નરમ હોય છે અને સૂપ તથા પિઝામાં માટીની સોડમ જેવો સ્વાદિષ્ટ સ્વાદ ઉમેરે છે."",""hi"":""मशरूम कवक (fungi) होते हैं, पौधे नहीं! वे नरम होते हैं और सूप व पिज्जा में एक स्वादिष्ट स्वाद जोड़ते हैं।""}","{""en"":""Did you know? Some mushrooms can glow in the dark! There are more than 70 species of bioluminescent mushrooms."",""gu"":""શું તમે જાણો છો? કેટલાક મશરૂમ અંધારામાં ચમકી શકે છે! બાયોલ્યુમિનેસન્ટ મશરૂમ્સની ૭૦ થી વધુ પ્રજાતિઓ છે."",""hi"":""क्या आपको पता है? कुछ मशरूम अंधेरे में चमक सकते हैं! अंधेरे में चमकने वाले मशरूम की 70 से अधिक प्रजातियाँ हैं।""}",memory,true,11
pea,"{""en"":""Pea"",""gu"":""વટાણા"",""hi"":""मटर""}",,/assets/images/vegetables/pea.png,,"{""en"":""Pea! Peas are tiny, sweet green balls that live inside a cozy pod."",""gu"":""વટાણા! વટાણા એ નાની, મીઠી લીલી ગોળીઓ છે જે સીંગ (પોડ) ની અંદર રહે છે."",""hi"":""मटर! मटर छोटे, मीठे हरे दाने होते हैं जो एक फली के अंदर रहते हैं।""}","{""en"":""We pop open the green pod to find the sweet peas. They are delicious to eat raw, boiled, or mixed in rice!"",""gu"":""આપણે વટાણા મેળવવા માટે લીલી સીંગ ખોલીએ છીએ. તેઓ કાચા, બાફેલા કે ભાતમાં મિક્સ કરીને ખાવામાં સ્વાદિષ્ટ લાગે છે!"",""hi"":""हम मटर के दाने पाने के लिए हरी फली को खोलते हैं। वे कच्चे, उबले हुए या चावल में मिलाकर खाने में स्वादिष्ट लगते हैं!""}","{""en"":""Did you know? The oldest pea ever found was about 10,000 years old, discovered in an ancient cave!"",""gu"":""શું તમે જાણો છો? અત્યાર સુધીનો સૌથી જૂનો વટાણા લગભગ ૧૦,૦0૦ વર્ષ જૂનો હતો, જે એક પ્રાચીન ગુફામાંથી મળી આવ્યો હતો!"",""hi"":""क्या आपको पता है? अब तक का सबसे पुराना मटर लगभग 10,000 साल पुराना था, जो एक प्राचीन गुफा में मिला था!""}",memory,true,12
potato,"{""en"":""Potato"",""gu"":""બટાકા"",""hi"":""आलू""}",,/assets/images/vegetables/potato.png,,"{""en"":""Potato! Potatoes are popular brown tubers that grow underground."",""gu"":""બટાકા! બટાકા એ જમીનની અંદર ઉગતા લોકપ્રિય ભૂરા રંગના કંદ છે."",""hi"":""आलू! आलू जमीन के नीचे उगने वाले लोकप्रिय भूरे रंग के कंद होते हैं।""}","{""en"":""Potatoes can be mashed, baked, or cut into crispy French fries! They are full of energy-giving carbohydrates."",""gu"":""બટાકાને મેશ કરી શકાય છે, બેક કરી શકાય છે અથવા ક્રિસ્પી ફ્રેન્ચ ફ્રાઈસ બનાવી શકાય છે! તેઓ કાર્બોહાઇડ્રેટ્સથી ભરપૂર હોય છે."",""hi"":""आलू को मैश किया जा सकता है, बेक किया जा सकता है या क्रिस्पी फ्रेंच फ्राइज़ बनाया जा सकता है! वे कार्बोहाइड्रेट से भरपूर होते हैं।""}","{""en"":""Did you know? Potatoes were the very first vegetable to be grown in outer space, aboard the Space Shuttle Columbia in 1995!"",""gu"":""શું તમે જાણો છો? ૧૯૯૫ માં સ્પેસ શટલ કોલંબિયા પર, અંતરિક્ષમાં ઉગાડવામાં આવેલી પ્રથમ શાકભાજી બટાકા હતી!"",""hi"":""क्या आपको पता है? 1995 में अंतरिक्ष यान कोलंबिया पर अंतरिक्ष में उगाई जाने वाली सबसे पहली सब्ज़ी आलू थी!""}",memory,true,13
pumpkin,"{""en"":""Pumpkin"",""gu"":""કોળું"",""hi"":""कद्दू""}",,/assets/images/vegetables/pumpkin.png,,"{""en"":""Pumpkin! Pumpkins are giant, round orange squash that grow on vines."",""gu"":""કોળું! કોળું એ વેલા પર ઉગતું એક વિશાળ, ગોળ અને નારંગી રંગનું શાકભાજી છે."",""hi"":""कद्दू! कद्दू बेल पर उगने वाली एक विशाल, गोल और नारंगी रंग की सब्ज़ी होती है।""}","{""en"":""Pumpkins have a thick shell, and inside they have seeds and sweet pulp. They are famous for pumpkin pies and Halloween carving!"",""gu"":""કોળાની છાલ જાડી હોય છે અને તેની અંદર બીજ અને મીઠો ગર્ભ હોય છે. તે પાઈ બનાવવા માટે અને હેલોવીન માટે પ્રખ્યાત છે!"",""hi"":""कद्दू का छिलका मोटा होता है और इसके अंदर बीज और मीठा गूदा होता है। यह कद्दू की पाई और हैलोवीन के लिए प्रसिद्ध है!""}","{""en"":""Did you know? The word 'pumpkin' comes from the Greek word 'pepon', which means 'large melon'!"",""gu"":""શું તમે જાણો છો? 'પમ્પકિન' શબ્દ ગ્રીક શબ્દ 'પેપોન' પરથી આવ્યો છે, જેનો અર્થ 'મોટું તળબૂચ' થાય છે!"",""hi"":""क्या आपको पता है? 'पम्पकिन' शब्द ग्रीक शब्द 'पेपोन' से आया है, जिसका अर्थ 'बड़ा तरबूज' होता है!""}",memory,true,14
